Element,Site,Coordination,Valence,IonicRadius(Å),First ionization energy(eV),Second ionization energy(eV),ThirdIonizationEnergy(eV),Electronegativity,Valence electron concentration,Polarizability(Å³),Melting temperature(K),Atomic volume(cm³/mol),Periodic number,Mendeleev number
La,A,8,3,1.16,5.579,11.058,19.177,1.1,3,1.04,1191.0,22.55,6,60.0
Gd,A,8,3,1.053,6.15,12.126,20.627,1.2,3,0.859,1586.0,19.9,6,70.0
Tb,A,8,3,1.04,5.864,11.504,21.912,1.21,3,0.821,1629.0,19.31,6,70.5
Lu,A,8,3,0.977,5.425,13.888,20.96,1.27,3,0.661,1936.0,17.78,6,78.0
Y,A,8,3,1.019,6.219,12.23,20.522,1.22,3,0.55,1795.0,19.88,5,43.0
Mg,A,8,2,0.89,7.646,15.044,80.143,1.31,2,0.094,923.0,13.97,3,14.0
Ca,A,8,2,1.12,6.113,11.87,50.913,1.0,2,0.472,1115.0,25.85,4,21.0
Sr,A,8,2,1.26,5.695,11.031,42.888,0.95,2,0.86,1050.0,34.16,5,40.0
Ba,A,8,2,1.42,5.213,10.006,37.312,0.89,2,1.55,1000.0,38.18,6,58.0
Al,B,6,3,0.535,5.985,18.828,120.0,1.61,3,0.054,933.437,9.99,3,15.0
Ga,B,6,3,0.62,5.999,20.518,30.71,1.81,3,0.198,302.91,11.81,4,33.0
Sc,B,6,3,0.745,6.561,12.8,24.758,1.36,3,0.286,1814.0,15.0,4,23.0
Mg,B,6,2,0.72,7.646,15.044,80.143,1.31,2,0.094,923.0,13.97,3,14.0
Zr,B,6,4,0.72,6.634,13.163,22.989,1.33,4,0.37,2128.0,14.11,5,45.0
Hf,B,6,4,0.71,6.825,14.935,23.321,1.3,4,0.494,2506.0,13.64,6,79.0
Al,C,4,3,0.39,5.985,18.828,120.0,1.61,3,0.054,933.437,9.99,3,15.0
Ga,C,4,3,0.47,5.999,20.518,30.71,1.81,3,0.198,302.91,11.81,4,33.0
Si,C,4,4,0.26,8.151,16.346,33.493,1.9,4,0.0333,1687.0,12.05,3,16.0
Ge,C,4,4,0.39,7.898,15.935,34.225,2.01,4,0.143,1211.4,13.67,4,34.0
Ba,B,6,2,1.35,5.213,10.006,37.312,0.89,2,1.55,1000.0,38.18,6,58.0
Y,B,6,3,0.9,6.219,12.23,20.522,1.22,3,0.55,1795.0,19.88,5,43.0
Si,B,6,4,0.4,8.151,16.346,33.493,1.9,4,0.0333,1687.0,12.05,3,16.0
Mn,A,8,2,0.96,7.435,15.64,33.663,1.55,7,0.527,1519.0,7.35,4,28.0
Ce,A,8,3,1.143,5.539,10.882,20.201,1.12,3,1.03,1071.0,21.0,6,61.0
In,C,4,3,0.62,5.786,18.873,28.026,1.78,3,0.73,429.75,15.71,5,52.0
